compound_smiles,viscosity_value,temperature_K,pressure_kPa
CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,6.27,272.44,101.325
CC(C)C[P+](C)(CC(C)C)CC(C)C.Cc1ccc(S(=O)(=O)[O-])cc1,6.232,293.15,101.325
CCCCCCCCCCCCOS(=O)(=O)[O-].CCCCCCCCCC[n+]1ccn(CCC#N)c1,6.231,313.15,101.325
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Cl-],6.088,288.15,101.325
CCCC[N+]1=CN(C=C1)C=C.C(C(=O)[O-])N,5.9,313.15,101.3
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.Cc1ncc([N+](=O)[O-])[n-]1,5.89,278.15,101.325
CC(=O)N[C@@H](C)C(=O)[O-].CCCC[N+]1(C)CCOCC1,5.869,303.15,101.325
C[N+](C)(C)CCO.O=S(=O)([O-])CCN(CCO)CCO,5.848,313.15,100.0
CCCCCCCCn1cc[n+](CCC#N)c1.O=C([O-])c1cccc(S(=O)(=O)O)c1,5.821,308.15,101.325
CCCC[N+](C)(CCCC)CCCC.N[C@@H](CO)C(=O)[O-],5.8,303.15,101.325
C[n+]1ccn(CCCc2ccccc2)c1.F[P-](F)(F)(F)(F)F,5.8,298.1,101.325
CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,5.793,273.24,101.325
CC(=O)N[C@H](C(=O)[O-])C(C)C.CCC[N+]1(C)CCOCC1,5.78,298.15,101.325
C=CCn1cc[n+](CCC#N)c1.[Cl-],5.761,308.15,101.325
CC[n+]1ccn(C)c1.O=S(=O)([O-])O,5.757,283.15,101.325
CCCCC(CC)CCC(=O)[O-].CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC,5.743,293.15,101.325
CCCCCCCCCC[n+]1ccn(C)c1.[Cl-],5.721,313.15,101.325
CCCCCC[n+]1ccn(C)c1.[Cl-],5.718,303.15,96.7
CCOC(=O)c1ccc[n+](CC)c1.CCOS(=O)(=O)[O-],5.7,293.0,101.325
CC(=O)N[C@H](C(=O)[O-])C(C)C.CC[N+]1(C)CCOCC1,5.699,298.15,101.325
CCOC(=O)c1ccc[n+](CC)c1.CCOS(=O)(=O)[O-],5.68,293.0,101.325
CCCCCCCCn1cc[n+](CCC#N)c1.[Cl-],5.661,328.15,101.325
CC(=O)N[C@@H](C)C(=O)[O-].CCCCCCCC[N+]1(C)CCOCC1,5.648,313.15,101.325
N#CCC[n+]1ccn(Cc2ccccc2)c1.[Cl-],5.635,343.15,101.325
CCCCCC[n+]1ccn(CCC#N)c1.[Br-],5.61,313.15,101.325
C[C@H](O)C(=O)[O-].C[N+](C)(C)CCO,5.5,293.15,101.325
CCCC[n+]1ccn(C)c1.N[C@@H](CO)C(=O)[O-],5.415,298.15,101.325
CCC(=O)[O-].C[N+](C)(C)CCO,5.4,293.01,101.325
C=CC[n+]1ccn(C)c1.[Cl-],5.395,293.15,101.325
CC(=O)N[C@@H](CC(C)C)C(=O)[O-].CC[N+]1(C)CCOCC1,5.388,298.15,101.325
CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,5.35,274.02,101.325
CCC[n+]1cn(C)cn1.Cc1ccc(S(=O)(=O)[O-])cc1,5.344,298.3,101.325
CCCCCCCCCCn1cc[n+](CCC#N)c1.CCCCCCCCOC(=O)CC(C(=O)OCCCCCCCC)S(=O)(=O)[O-],5.339,318.15,101.325
CCCC[P+](CCCC)(CCCC)CCCC.O=S(=O)([O-])CCN(CCO)CCO,5.316,308.15,100.0
CC(=O)N[C@@H](C)C(=O)[O-].CCCCCC[N+]1(C)CCOCC1,5.307,308.15,101.325
N[C@@H](CC1=CNC=N1)C(=O)[O-].C(CCC)N1C=[N+](C=C1)C=C,5.3,303.15,101.3
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCn1c[n+](C)cc1.[O-]C(=O)C,5.2,300.19,101.325
CCCCCCCCCCCCOS(=O)(=O)[O-].CCCCCC[n+]1ccn(CCC#N)c1,5.2,308.15,101.325
Cn1cc[n+](CCCCC#N)c1.[Cl-],5.2,298.1,101.325
CC(=O)N[C@@H](CC(C)C)C(=O)[O-].CCCCCC[N+]1(C)CCOCC1,5.16,318.15,101.325
CCCCCCCC[n+]1ccn(CCC#N)c1.[Br-],5.136,323.15,101.325
C(=O)(O)CCCCCCCCC(=O)[O-].C(CCCCCCC)[NH+](CCCCCCCC)CCCCCCCC,5.113,293.1,101.325
C(=O)(O)CCCCC(=O)[O-].C(CCCCCCC)[NH+](CCCCCCCC)CCCCCCCC,5.113,293.1,101.325
C[C@H](N)C(=O)[O-].C[N+](C)(C)CCO,5.1,288.1,100.0
C/C=C(\C)C(=O)[O-].C[N+](C)(C)CCO,5.1,303.61,101.325
CCCCCCCCCCOS(=O)(=O)[O-].CCCCCCCC[n+]1ccn(CCC#N)c1,5.094,313.15,101.325
C[N+](C)(C)CCO.NCCC(=O)[O-],5.092,298.15,101.325
CCCCCCCCn1cc[n+](C)c1.[Br-],5.068,298.15,101.325
CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,4.992,274.63,101.325
CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])CCN(CCO)CCO,4.971,323.15,100.0
CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,4.952,274.8,101.325
CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,4.903,274.81,101.325
CCCC[N+](C)(CCCC)CCCC.C[C@@H](O)[C@H](N)C(=O)[O-],4.9,303.15,101.325
CCCCCCCC[n+]1ccn(CCC#N)c1.O=S(=O)([O-])c1ccccc1,4.88,303.15,101.325
CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,4.879,274.88,101.325
CC(Oc1ccc(Cl)cc1Cl)C(=O)[O-].CCCCCCCC[N+]1(C)CCCCC1,4.875,313.15,101.325
CC(=O)N[C@H](C(=O)[O-])C(C)C.CCCC[N+]1(C)CCOCC1,4.866,303.15,101.325
CCCCCCn1cc[n+](CCC#N)c1.[Cl-],4.832,323.15,101.325
C[N+](C)(C)CCO.N[C@H](Cc1ccccc1)C(=O)[O-],4.8145,308.0,101.325
CCCCCC[n+]1ccn(CCC#N)c1.O=C([O-])c1cccc(S(=O)(=O)O)c1,4.8,308.15,101.325
CCCCCCCCn1cc[n+](C)c1.[Cl-],4.8,308.15,101.325
N[C@@H](CO)C(=O)[O-].C(CCC)N1C=[N+](C=C1)C=C,4.8,323.15,101.3
CCCCCCCCCCCCOS(=O)(=O)[O-].CCCCn1cc[n+](CCC#N)c1,4.746,303.15,101.325
CCCC[n+]1ccn(CCC#N)c1.[Cl-],4.707,293.15,101.325
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.CS(=O)(=O)[O-],4.69,283.15,101.325
CCCCCCCC[P+](CCCC)(CCCC)CCCC.[Cl-],4.67,298.15,101.325
CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,4.652,275.31,101.325
CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,4.635,275.44,101.325
CCCC[n+]1ccn(CCC#N)c1.O=S(=O)([O-])c1ccccc1,4.612,293.15,101.325
CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])CC(O)CNC1CCCCC1,4.609,328.15,100.0
CCCCCCCCCC[n+]1ccn(CCC#N)c1.O=C([O-])c1cccc(S(=O)(=O)O)c1,4.606,313.15,101.325
CCCCCCn1cc[n+](C)c1.N#C[C-](C#N)C#N,4.6,243.2,100.0
CCCCC(CC)COC(=O)CC(C(=O)OCC(CC)CCCC)S(=O)(=O)[O-].CCCCCC[n+]1ccn(CCC#N)c1,4.6,313.15,101.325
CCC(=O)[O-].C[N+](C)(C)CCO,4.6,293.15,101.325
C[N+](C)(C)CCO.O=S(=O)([O-])CC(O)CN1CCOCC1,4.6,333.15,100.0
CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,4.594,275.56,101.325
CCCCCCCCCC[n+]1ccn(CCC#N)c1.[Br-],4.574,328.15,101.325
CCCCCCCCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,4.561,273.1,101.325
CCc1cccc[n+]1C.COS(=O)(=O)[O-],4.559,298.15,101.325
COS(=O)(=O)[O-].Cn1cc[n+](Cc2ccccc2)c1,4.517,298.15,101.325
CCCC[n+]1ccn(CCC#N)c1.[Br-],4.502,313.15,101.325
C[C@H](N)C(=O)[O-].C[N+](C)(C)CCO,4.5,287.88,100.0
CCCn1cc[n+](C)c1C.O=[N+]([O-])c1cn[n-]c1,4.5,283.15,101.325
CCCCCCCCn1cc[n+](C)c1.[Cl-],4.5,313.15,101.325
CCCC[P+](CCCC)(CCCC)CCCC.O=S(=O)([O-])CC(O)CN1CCOCC1,4.494,303.15,100.0
CCCCCCCCOC(=O)CC(C(=O)OCCCCCCCC)S(=O)(=O)[O-].CCCCn1cc[n+](CCC#N)c1,4.462,308.15,101.325
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Br-],4.421,293.15,101.325
CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,4.334,276.14,101.325
C[C@H](N)C(=O)[O-].C[N+](C)(C)CCO,4.3,290.21,100.0
CCCCCC[n+]1ccn(CCC#N)c1.O=S(=O)([O-])c1ccccc1,4.3,298.15,101.325
CCCCCCCCn1cc[n+](C)c1.[Cl-],4.3,308.15,97.6
