mpK,Molecule1,Molecule2,YoN
497.65,Cc1c(Cc2c(O)n(-c3ccccc3)[n+](C)c2C)c(=O)n(-c2ccccc2)n1C,[O-][Cl+3]([O-])([O-])[O-],1
421.15,N[NH3+],O=C([O-])C(=O)[O-],1
329.15,C1CC[NH2+]C1,CC(C)OP(=O)(OC(C)C)[P-]P(=O)(OC(C)C)OC(C)C,1
489.0,Brc1ccc(-c2csc3cccc[n+]23)cc1,F[B-](F)(F)F,1
464.5,c1cnc2c(c1)ccc1ccc[nH+]c12,O=C([O-])c1cc(Cl)c(Cl)cc1C(=O)O,1
459.5,CCOc1ccc([NH3+])cc1,[O-][Cl+3]([O-])([O-])[O-],1
494.0,C[n+]1ccc(C=Cc2ccccc2)cc1,O=S(=O)([O-])c1ccccc1,1
460.5,ON=C(c1ccc(F)cc1F)C1CC[NH2+]CC1,O=[N+]([O-])c1cc([N+](=O)[O-])c([O-])c([N+](=O)[O-])c1,1
416.2,C[NH+]1CCCCC1,O=[N+]([O-])c1ccc([O-])c([N+](=O)[O-])c1,1
482.15,C[n+]1c(C(C)(C)C)cccc1C(C)(C)C,[O-][Cl+3]([O-])([O-])[O-],1
447.15,CC(=CC(C)=C1N(C)c2ccccc2C1(C)C)C1=[N+](C)c2ccccc2C1(C)C,F[B-](F)(F)F,1
490.15,CCC1(C)C(C=CC(C)=C2N(C)c3ccccc3C2(C)C)=[N+](C)c2ccccc21,F[B-](F)(F)F,1
409.05,CC([NH3+])c1ccccc1,CC1=C(C(=O)[O-])C(C)NC(=O)N1,1
481.0,C1C[NH2+]CC[NH2+]1,O=C([O-])CCC(=O)[O-],1
425.15,C[S+]1CCC(NC(=O)OC(C)(C)C)C1,Cc1ccc(S(=O)(=O)[O-])cc1,1
466.15,Cc1nsn[s+]1,F[As-](F)(F)(F)(F)F,1
468.15,Cc1csn[s+]1,F[As-](F)(F)(F)(F)F,1
403.65,Cc1cc(C)n(-c2ccccc2)[nH+]1,F[B-](F)(F)F,1
451.65,COC(=O)C=C(C(=O)OC)[n+]1c(C)cc(C)n1-c1ccccc1,F[B-](F)(F)F,1
539.0,Cc1c(C)[n+](C)c(-c2ccc(-c3n(C)c(C)c(C)[n+]3C)[cH-]2)n1C,F[P-](F)(F)(F)(F)F,1
346.4,OCC[NH+](CCO)CCO,O=C([O-])CSc1ccc(Cl)cc1,1
419.15,Cc1[nH+]c[nH]c1CSCCNC(=NC#N)N(C)N=O,O=[N+]([O-])[O-],1
508.5,COc1ccc2nc(N(C)C)cc(N(C)C)c2c1[NH+](C)C,[O-][Cl+3]([O-])([O-])[O-],1
399.0,C[NH2+]C(C)C(O)c1ccccc1,O=C([O-])CCC(c1ccc(Cl)c(Cl)c1)c1ccccn1,1
427.65,CCC1C(=O)C=C(c2ccccc2)[S+]1CC,F[B-](F)(F)F,1
492.15,CC(C)CC([NH3+])C(=O)O,O=C1C(O)=C(Cl)C(=O)C([O-])=C1Cl,1
444.15,CN(C)c1c(N(C)C)[c+]1O[c+]1c(N(C)C)c1N(C)C,O=S(=O)([O-])C(F)(F)F,1
450.65,C[NH+]1C2CCC1CC(CCOC(c1ccc(F)cc1)c1ccc(F)cc1)C2,O=C([O-])C=CC(=O)O,1
392.65,CC(C)[NH2+]C(C)C,CC(C)NP(=[Se])([Se-])c1ccccc1,1
432.0,Cc1ccc(S(=O)(=O)OCC2CCC[NH+]3CCCCC23)cc1,Cc1ccc(S(=O)(=O)[O-])cc1,1
474.65,c1ccc(-c2cc[nH+]cc2)nc1,O=C1C([O-])=C(Br)C(=O)C([O-])=C1Br,1
487.65,c1ccc(-c2cc[nH+]cc2)nc1,O=C1C([O-])=C(Cl)C(=O)C([O-])=C1Cl,1
526.65,C(=Cc1cc[nH+]cc1)c1cc[nH+]cc1,O=C1C([O-])=C(Br)C(=O)C([O-])=C1Br,1
554.15,C(=Cc1cc[nH+]cc1)c1cc[nH+]cc1,O=C1C([O-])=C(Cl)C(=O)C([O-])=C1Cl,1
492.15,C(#Cc1cc[nH+]cc1)c1ccncc1,O=C1C(O)=C(Br)C(=O)C([O-])=C1Br,1
495.65,CC1C2Cc3[nH+]csc3C1(C)CC[NH2+]2,O=C([O-])C(=O)[O-],1
380.0,CC(=O)c1cc[n+](Cc2ccccc2)cc1C(=O)N(C(C)C)C(C)C,[O-][Cl+3]([O-])([O-])[O-],1
398.15,C1CS[P+]2(S1)SCCS2,Cl[B-](Cl)(Cl)Cl,1
447.0,c1ccc(CN(Cc2cccc[nH+]2)Cc2cccc[n+]2Cc2ccccn2)nc1,[O-][Cl+3]([O-])([O-])[O-],1
545.0,O=C(O)C[N+]12CC[NH+](CC1)CC2,O=c1c([O-])c([O-])c1=O,1
466.15,CCC[NH+]1CCCC2Cc3[nH]ncc3CC21,CC(C)(C)OC(=O)NC(C(=O)[O-])c1ccccc1,1
427.0,IC1=Cc2ccc3c4c(ccc(c24)[S+]1)C=CS3,O=[N+]([O-])[O-],1
460.65,C[n+]1ccccc1-c1nc(C#N)c(C#N)nc1-c1ccccn1,Cc1ccc(S(=O)(=O)[O-])cc1,1
399.0,CC([NH3+])c1ccccc1,O=C([O-])C(O)C(Cl)(Cl)Cl,1
420.65,C[NH+](C)Cc1c2ccccc2cc2ccccc12,O=C([O-])CCC(=O)[O-],1
405.65,C[NH+](C)Cc1c2ccccc2cc2ccccc12,O=C([O-])CCCCC(=O)O,1
410.65,C[NH+](C)Cc1c2ccccc2cc2ccccc12,O=C([O-])C#CC(=O)[O-],1
398.15,[NH3+]Cc1ccccc1,O=C([O-])C=Cc1ccccc1,1
391.15,[NH3+]Cc1ccccc1,O=C([O-])C=Cc1cccc(Cl)c1,1
393.15,[NH3+]Cc1ccccc1,O=C([O-])C=Cc1cccc(Br)c1,1
447.15,[NH3+]Cc1ccccc1,Cc1ccc(C=CC(=O)[O-])cc1,1
411.15,[NH3+]Cc1ccccc1,Cc1cccc(C=CC(=O)[O-])c1,1
399.15,[NH3+]Cc1ccccc1,Cc1ccccc1C=CC(=O)[O-],1
383.15,O=C(O)Cn1cc[n+](CC(=O)O)c1,[O-][Cl+3]([O-])([O-])[O-],1
409.15,[NH3+]Cc1ccccc1,O=C([O-])C=Cc1cccc([N+](=O)[O-])c1,1
521.15,NC(N)=Nc1[nH]c2ccccc2[nH+]1,[O-][Cl+3]([O-])([O-])[O-],1
461.15,c1cc[nH+]cc1,c1ccc2c(c1)O[Si-]1(c3cccc4ccccc34)(O2)Oc2ccccc2O1,1
476.4,c1cc[nH+]cc1,Clc1ccccc1[Si-]12(Oc3ccccc3O1)Oc1ccccc1O2,1
405.65,[NH3+]CCCCCC[NH3+],c1ccc([Si-]23(OCCO2)OCCO3)cc1,1
471.0,C1C[NH+]2CCN1CC2,O=C([O-])c1ccc([N+](=O)[O-])cc1[N+](=O)[O-],1
458.0,C[n+]1ccn(Cn2cc[n+](C)c2)c1,O=[N+]([O-])c1cc([N+](=O)[O-])c([O-])c([N+](=O)[O-])c1,1
514.5,C[n+]1ccccc1C=Cc1ccc(O)cc1,O=S(=O)([O-])c1ccc(Br)cc1,1
489.0,C[n+]1cnn(Cn2c[n+](C)cn2)c1,O=[N+]([O-])c1cc([N+](=O)[O-])c([O-])c([N+](=O)[O-])c1,1
408.15,c1cc[nH+]cc1,O=C([S-])c1cccc(C(=O)[S-])[nH+]1,1
433.65,[NH3+]Cc1cccs1,COC(=O)c1nnn(Cc2cccs2)c1[O-],1
431.1,C[NH2+]C(C)C(O)c1ccccc1,COC(=O)C1CC=CCC1C(=O)[O-],1
436.15,N#[N+]c1cccc2ccc[n+]([O-])c12,F[B-](F)(F)F,1
501.15,N#CC(=C1C=CC=CC=C1)[c+]1c(-c2ccccc2)c1-c1ccccc1,F[B-](F)(F)F,1
433.15,N#CC(=C1C=CC=CC=C1)[c+]1cccccc1,[O-][Cl+3]([O-])([O-])[O-],1
455.85,NNC(NN)=[NH+]N,O=[N+]([O-])[N-]c1nonc1-c1noc(-c2nc(-c3nonc3[N-][N+](=O)[O-])no2)n1,1
455.85,Nc1[nH]cn[nH+]1,O=[N+]([O-])[N-]c1nonc1-c1noc(-c2nc(-c3nonc3[N-][N+](=O)[O-])no2)n1,1
398.15,[NH3+]CC[NH3+],[S-]SSSS[S-],1
468.65,CN(C)C=C(C=C(C=[N+](C)C)[N+](=O)[O-])[N+](=O)[O-],[O-][Cl+3]([O-])([O-])[O-],1
411.15,CC(C)(C)[Si](C)(C)C#C[I+]c1ccccc1,O=S(=O)([O-])C(F)(F)F,1
415.15,c1ccc(C[NH+]2COCC3CCCCC32)cc1,O=[N+]([O-])c1cc([N+](=O)[O-])c([O-])c([N+](=O)[O-])c1,1
485.65,CC1=[NH+]C2CC(=O)C1C(C)C2,O=[N+]([O-])c1cc([N+](=O)[O-])c([O-])c([N+](=O)[O-])c1,1
490.0,Cc1cc[nH+]c2c1NC(=O)c1cccnc1N2C1CC1,O=[N+]([O-])c1cc([N+](=O)[O-])c([O-])c([N+](=O)[O-])c1,1
443.0,Nc1[nH]nc[nH+]1,O=C([O-])C(O)C(O)C(=O)O,1
428.65,c1ccc(C[NH+]2CC3CSCC(C3)C2)cc1,[O-][Cl+3]([O-])([O-])[O-],1
522.65,OC1(c2ccccc2)C2CSCC1C[NH+](Cc1ccccc1)C2,[O-][Cl+3]([O-])([O-])[O-],1
347.0,CCCC[P+](CCCC)(CCCC)CCCC,c1ccc(-c2nnn[n-]2)cc1,1
485.15,Clc1ccc2c[n+]3ccccc3cc2c1,F[B-](F)(F)F,1
464.65,c1cnc(NCCCCNc2nccc[nH+]2)[nH+]c1,F[B-](F)(F)F,1
420.0,[NH2+]=CNO,O=C([O-])C(=O)O,1
525.65,c1c[nH+]c(-c2cc(-c3[nH]cc[nH+]3)cc(-c3[nH]cc[nH+]3)c2)[nH]1,O=C([O-])C(F)(F)F,1
431.65,C[S+]1c2ccccc2C(c2ccccc2)c2ccccc21,F[B-](F)(F)F,1
468.15,COc1ccc(N2C(=[N+](C)C)Nc3ccc(OC)cc3S2=O)cc1,F[B-](F)(F)F,1
